,tdate,close_0,symbol_0,close_1,symbol_1,close_2,symbol_2,close_3,symbol_3,close_4,symbol_4,close_5,symbol_5
0,2000/1/5,91.25,1,81.75,1,12.3,1,,,107.0,1,19.5,1
1,2000/1/6,86.75,1,76.75,1,12.95,0,,,102.0,1,18.4,1
2,2000/1/7,88.5,0,81.5,0,13.5,0,,,103.0,2,19.45,0
3,2000/1/10,89.25,2,80.75,2,14.3,0,,,106.0,0,20.4,0
4,2000/1/11,91.5,0,79.0,1,14.45,0,,,106.0,2,20.7,0
5,2000/1/12,90.0,1,77.0,1,14.3,1,,,105.0,2,20.85,2
6,2000/1/13,88.75,1,77.75,2,14.0,1,,,102.0,1,21.05,2
7,2000/1/14,87.5,1,78.5,2,13.9,2,,,104.5,0,21.05,2
8,2000/1/17,88.5,0,78.0,2,13.35,1,,,103.0,1,21.0,2
9,2000/1/18,93.0,0,78.5,2,13.45,2,,,107.0,0,20.8,2
10,2000/1/19,92.0,1,76.0,1,13.1,1,,,102.5,1,20.0,1
11,2000/1/20,91.75,2,77.25,0,13.45,0,,,105.0,0,19.95,2
12,2000/1/21,92.25,2,76.25,1,13.3,1,,,103.5,1,19.8,2
13,2000/1/24,93.5,0,76.5,2,12.85,1,,,103.5,2,20.0,0
14,2000/1/25,94.75,0,75.25,1,12.75,2,,,103.5,2,19.95,2
15,2000/1/26,98.0,0,77.25,0,12.7,2,,,107.5,0,20.05,2
16,2000/1/27,102.0,0,79.0,0,12.95,0,,,113.5,0,20.3,0
17,2000/1/28,102.5,2,77.0,1,12.5,1,,,117.5,0,20.55,0
18,2000/1/31,97.75,1,75.75,1,12.3,1,,,112.0,1,20.25,1
19,2000/2/1,99.0,0,76.0,2,12.2,2,,,115.0,0,20.0,1
20,2000/2/2,102.0,0,75.75,2,12.4,0,,,115.0,2,20.05,2
21,2000/2/3,102.5,2,75.25,2,13.4,0,,,115.0,2,21.3,0
22,2000/2/4,102.5,2,75.25,2,13.4,2,,,115.0,2,21.3,2
23,2000/2/7,102.5,2,75.25,2,13.4,2,,,115.0,2,21.3,2
24,2000/2/8,105.0,0,72.25,1,13.2,1,,,117.5,0,20.85,1
25,2000/2/9,108.5,0,71.0,1,13.2,2,,,127.5,0,20.9,2
26,2000/2/10,112.0,0,70.25,1,13.0,1,,,131.0,0,21.05,2
27,2000/2/11,121.0,0,71.25,0,12.65,1,,,141.0,0,21.0,2
28,2000/2/14,114.5,1,71.0,2,11.75,1,,,131.5,1,20.4,1
29,2000/2/15,108.5,1,71.25,2,11.0,1,,,124.0,1,20.1,1
30,2000/2/16,109.0,2,76.0,0,11.2,0,,,128.5,0,20.4,0
31,2000/2/17,107.0,1,72.0,1,11.5,0,,,124.0,1,20.0,1
32,2000/2/18,104.0,1,71.75,2,11.7,0,,,122.5,1,19.25,1
33,2000/2/21,101.5,1,71.25,2,11.15,1,,,119.0,1,19.05,1
34,2000/2/22,99.5,1,70.5,1,11.2,2,,,118.5,2,18.0,1
35,2000/2/23,104.0,0,71.75,0,11.5,0,,,120.0,0,18.25,0
36,2000/2/24,107.0,0,72.5,0,11.55,2,,,125.5,0,17.95,1
37,2000/2/25,104.5,1,71.75,1,11.2,1,,,124.5,2,17.9,2
38,2000/2/28,99.75,1,70.75,1,10.5,1,,,120.0,1,18.05,2
39,2000/2/29,104.5,0,70.25,2,10.8,0,,,122.0,0,18.05,2
40,2000/3/1,101.5,1,70.25,2,10.15,1,,,121.0,2,18.2,2
41,2000/3/2,101.5,2,68.75,1,10.55,0,,,121.5,2,17.15,1
42,2000/3/3,102.0,2,69.25,2,10.8,0,,,126.0,0,16.65,1
43,2000/3/6,107.5,0,69.25,2,11.6,0,,,131.0,0,17.05,0
44,2000/3/7,111.0,0,69.25,2,12.25,0,,,132.0,2,17.05,2
45,2000/3/8,109.5,1,71.25,0,12.45,0,,,135.0,0,16.85,1
46,2000/3/9,106.5,1,69.5,1,12.05,1,,,136.5,0,17.3,0
47,2000/3/10,109.5,0,71.25,0,11.45,1,,,146.0,0,17.5,0
48,2000/3/13,106.5,1,68.0,1,12.0,0,,,144.5,1,16.95,1
49,2000/3/14,103.0,1,66.25,1,11.9,2,,,140.0,1,17.3,0
50,2000/3/15,103.5,2,65.25,1,11.5,1,,,135.5,1,16.9,1
51,2000/3/16,101.0,1,66.5,0,11.8,0,,,129.5,1,17.0,2
52,2000/3/17,105.5,0,69.0,0,12.35,0,,,132.5,0,18.65,0
53,2000/3/20,104.0,1,67.0,1,12.1,1,,,130.5,1,17.6,1
54,2000/3/21,108.0,0,66.75,2,11.7,1,,,135.5,0,17.1,1
55,2000/3/22,112.0,0,67.5,0,12.1,0,,,139.0,0,17.2,2
56,2000/3/23,116.0,0,67.25,2,11.9,1,,,145.0,0,17.25,2
57,2000/3/24,114.5,1,68.0,0,12.2,0,,,145.5,2,17.2,2
58,2000/3/27,116.5,0,69.5,0,11.8,1,,,148.5,0,17.3,2
59,2000/3/28,119.0,0,69.0,2,11.75,2,,,150.0,0,17.2,2
60,2000/3/29,119.5,2,67.25,1,11.8,2,,,148.0,1,17.25,2
61,2000/3/30,116.5,1,67.5,2,11.65,1,,,141.5,1,17.65,0
62,2000/3/31,116.5,2,68.0,2,11.7,2,,,140.5,2,17.35,1
63,2000/4/3,110.0,1,67.75,2,11.5,1,,,137.5,1,17.2,2
64,2000/4/4,110.0,2,67.75,2,11.5,2,,,137.5,2,17.2,2
65,2000/4/5,104.5,1,67.0,1,12.1,0,,,131.5,1,17.25,2
66,2000/4/6,106.0,0,67.5,2,13.1,0,,,132.0,2,18.3,0
67,2000/4/7,106.5,2,67.25,2,13.1,2,,,133.0,2,17.85,1
68,2000/4/10,107.5,2,67.0,2,12.8,1,1.23,0.0,135.5,0,17.3,1
69,2000/4/11,105.0,1,67.0,2,13.0,0,1.29,0.0,131.0,1,17.25,2
70,2000/4/12,103.5,1,68.25,0,13.7,0,1.25,1.0,131.0,2,17.3,2
71,2000/4/13,101.0,1,70.0,0,14.2,0,1.22,1.0,126.5,1,17.45,2
72,2000/4/14,99.0,1,70.0,2,13.95,1,1.26,0.0,122.0,1,17.75,0
73,2000/4/17,88.5,1,69.25,1,13.0,1,1.15,1.0,109.0,1,17.0,1
74,2000/4/18,89.75,0,70.25,0,13.5,0,1.22,0.0,112.5,0,17.25,0
75,2000/4/19,88.25,1,71.25,0,14.1,0,1.18,1.0,109.0,1,17.7,0
76,2000/4/20,87.0,1,70.5,1,13.9,1,1.18,2.0,110.0,2,17.4,1
77,2000/4/21,87.0,2,70.5,2,13.9,2,1.18,2.0,110.0,2,17.4,2
78,2000/4/24,87.0,2,70.5,2,13.9,2,1.18,2.0,110.0,2,17.4,2
79,2000/4/25,86.25,2,71.25,0,14.4,0,1.12,1.0,107.5,1,17.25,2
80,2000/4/26,85.75,2,70.75,2,14.3,2,1.11,2.0,106.5,2,17.15,2
81,2000/4/27,88.5,0,71.0,2,13.7,1,1.14,0.0,110.5,0,16.95,1
82,2000/4/28,93.0,0,72.0,0,13.85,0,1.21,0.0,113.0,0,16.85,2
83,2000/5/1,93.0,2,72.0,2,13.85,2,1.21,2.0,113.0,2,16.85,2
84,2000/5/2,92.75,2,71.25,1,13.5,1,1.2,2.0,113.5,2,16.55,1
85,2000/5/3,92.25,2,70.5,1,13.6,2,1.19,2.0,109.5,1,16.75,0
